disturbance,transit_time,angular_width,MPA,avg_speed,final_speed,mass,BX,BZ_GSE,Plasma_Temp,Plasma_Speed,Plasma_flow_long,Alpha_Prot_ratio,flow_pressure
1999-09-20 06:06:00,53.5,360,14,604,549,890000000000000,-4.2,1.6,142019,378,-0.1,0.043,0.98
1999-10-18 00:06:00,73.5,163.5,112,195.5,243,2457160258612828,-4.5,1.8,56506,437,1.4,0.07,1.96
1999-10-25 14:26:00,69,146,172,511,560,3500000000000000,-2.2,2.9,109148,558,0.3,0.04,1.33
1999-12-22 19:31:00,97,360,358,605,571,6100000000000000,2.7,-0.4,100292,275,-3.9,0.04,2.49
2000-01-18 17:54:00,78,360,45,739,665,6900000000000000,3.3,1.9,100292,314,0.4,0.04,2.49
2000-02-08 09:30:00,64.5,360,50,1079,874,1514320517225656,4.2,0.5,110887,544,2.9,0.05,1.36
2000-02-10 02:30:00,44.5,360,340,944,1003,64000000000000,5.5,-1.1,76663,411,-0.5,0.042,1.25
2000-02-12 04:31:00,50.5,360,20,1107,1047,1600000000000000,6.1,-1.4,139433,569,4.9,0.095,9.7
2000-02-17 21:30:00,71,360,184,728,545,1514320517225656,-2.3,-1,65275,409,-5.7,0.018,1.23
2000-04-04 16:32:00,47.5,360,265,1188,1232,4500000000000000,2.5,-5.9,80410,379,2,0.038,1.58
2000-04-15 10:35:00,81,176,148,716,605,430000000000000,1.2,0.4,100292,292,-3.7,0.015,2.49
2000-04-29 04:30:00,78,109,123,551,584,1.1E+016,2.5,-1.2,102190,410,-1.6,0.045,1.52
2000-05-10 20:06:00,56.5,205,65,641,525,4400000000000000,2.4,-2,100292,317,-0.5,0.029,2.49
2000-05-13 12:26:00,77.5,182,178,666,755,4100000000000000,8.9,-2.2,57584,599,0.6,0.032,4.87
2000-05-20 14:50:00,49.5,139,200,348,349,300000000000000,-1.8,-1.9,61717,430,-3.8,0.045,0.95
